# time_start: 2026-05-10 13:09:40
# time_stop:  2026-05-10 13:09:47
CH 0, CH 8, CH 9
16, -347, 86059
38, -262, 86030
39, -461, 86028
33, -397, 85987
27, -452, 86031
17, -412, 86016
20, -328, 86039
18, -228, 86050
16, -338, 86006
38, -397, 86030
43, -330, 86066
34, -362, 86051
26, -512, 86015
19, -269, 85998
28, -106, 86088
25, -344, 86084
12, -273, 86003
30, -238, 86046
40, -142, 86068
13, -327, 86029
23, -224, 86040
31, -346, 86023
23, -167, 86034
26, -222, 86009
17, -244, 85987
19, -494, 86014
16, -369, 86021
33, -335, 86021
43, -278, 86033
35, -215, 86040
28, -249, 86022
18, -591, 86079
29, -284, 85976
20, -521, 85986
13, -280, 86041
33, -193, 85983
27, -274, 86006
32, -384, 85998
18, -275, 86063
27, -492, 86053
28, -231, 85987
24, -186, 86054
21, -194, 85977
25, -323, 86047
43, -144, 86030
18, -409, 85995
18, -342, 86031
20, -397, 86024
25, -86, 86014
25, -396, 86004
41, -363, 86009
37, -640, 86020
20, -257, 86027
25, -281, 86039
21, -461, 86046
20, -181, 86034
11, -317, 86050
35, -230, 85981
37, -345, 85996
38, -282, 86057
29, -355, 86003
20, -307, 85989
34, -274, 85970
20, -386, 86012
17, -433, 86027
27, -231, 86023
15, -225, 85995
25, -369, 86023
30, -227, 86036
36, -396, 86000
20, -163, 86046
22, -364, 85989
21, -115, 86022
18, -282, 86054
29, -366, 86066
31, -253, 86023
33, -513, 86039
22, -289, 85974
30, -326, 86008
19, -296, 86048
24, -225, 85987
22, -152, 86009
9, 48, 86056
35, -268, 86023
44, -415, 86019
29, -407, 86059
32, -207, 86026
28, -255, 86036
25, -338, 85997
17, -286, 86024
18, -469, 86018
16, -368, 85995
33, -292, 86008
40, -604, 86045
35, -268, 86033
21, -264, 86034
24, -313, 86070
19, -425, 86073
6, -288, 86032
30, -532, 86025
41, -310, 86036
29, -159, 86046
18, -539, 86024
18, -261, 86005
23, -394, 86064
17, -410, 86023
37, -349, 86065
31, -312, 85999
18, -258, 86018
19, -329, 86027
22, -223, 86034
17, -292, 86025
31, -187, 86083
46, -338, 86059
39, -30, 85992
20, -383, 86036
21, -400, 85997
18, -427, 86053
31, -476, 86002
20, -482, 86101
31, -231, 86010
36, -250, 86039
25, -353, 86042
24, -189, 86026
18, -419, 86061
13, -154, 86015
26, -441, 86017
25, -232, 86037
40, -300, 86032
31, -328, 86029
19, -304, 86017
31, -258, 85994
25, -359, 86010
13, -144, 86016
25, -233, 86030
29, -246, 85978
5, -485, 86030
29, -384, 85981
43, -514, 86026
29, -378, 86005
26, -241, 85987
20, -250, 86042
21, -228, 86000
34, -520, 86007
29, -286, 86001
21, -318, 86041
17, -349, 86043
22, -387, 86052
19, -474, 86044
30, -309, 86043
